Source,CH1,CH2
Second,Value,Value
+5.720000E-08,+4.720000E+00,+1.192093E-07
+5.920000E-08,+4.720000E+00,+1.192093E-07
+6.120000E-08,+4.720000E+00,+1.192093E-07
+6.320000E-08,+4.720000E+00,+1.192093E-07
+6.520000E-08,+4.720000E+00,+1.192093E-07
+6.720000E-08,+4.720000E+00,+1.192093E-07
+6.920000E-08,+4.720000E+00,+1.192093E-07
+7.120000E-08,+4.640000E+00,+1.192093E-07
+7.320000E-08,+4.640000E+00,+1.192093E-07
+7.520000E-08,+4.640000E+00,+1.192093E-07
+7.720000E-08,+4.720000E+00,+1.192093E-07
+7.920000E-08,+4.720000E+00,+1.192093E-07
+8.120000E-08,+4.720000E+00,+1.192093E-07
+8.320000E-08,+4.720000E+00,+1.192093E-07
+8.520000E-08,+4.800000E+00,+1.192093E-07
+8.720000E-08,+4.720000E+00,+1.192093E-07
+8.920000E-08,+4.720000E+00,+1.192093E-07
+9.120000E-08,+4.720000E+00,+1.192093E-07
+9.320000E-08,+4.720000E+00,+1.192093E-07
+9.520000E-08,+4.720000E+00,+1.192093E-07
+9.720000E-08,+4.720000E+00,+1.192093E-07
+9.920000E-08,+4.720000E+00,+1.192093E-07
+1.012000E-07,+4.720000E+00,+1.192093E-07
+1.032000E-07,+4.720000E+00,+1.192093E-07
+1.052000E-07,+4.720000E+00,+1.192093E-07
+1.072000E-07,+4.720000E+00,+1.192093E-07
+1.092000E-07,+4.720000E+00,+1.192093E-07
+1.112000E-07,+4.720000E+00,+1.192093E-07
+1.132000E-07,+4.720000E+00,+1.192093E-07
+1.152000E-07,+4.720000E+00,+1.192093E-07
+1.172000E-07,+4.720000E+00,+1.192093E-07
+1.192000E-07,+4.720000E+00,+1.192093E-07
+1.212000E-07,+4.720000E+00,+1.192093E-07
+1.232000E-07,+4.720000E+00,+1.192093E-07
+1.252000E-07,+4.720000E+00,+1.192093E-07
+1.272000E-07,+4.720000E+00,+1.192093E-07
+1.292000E-07,+4.720000E+00,+1.192093E-07
+1.312000E-07,+4.720000E+00,+1.192093E-07
+1.332000E-07,+4.720000E+00,+1.192093E-07
+1.352000E-07,+4.720000E+00,+1.192093E-07
+1.372000E-07,+4.720000E+00,+1.192093E-07
+1.392000E-07,+4.720000E+00,+1.192093E-07
+1.412000E-07,+4.720000E+00,+1.192093E-07
+1.432000E-07,+4.720000E+00,+1.192093E-07
+1.452000E-07,+4.720000E+00,+1.192093E-07
+1.472000E-07,+4.720000E+00,+1.192093E-07
+1.492000E-07,+4.720000E+00,+1.192093E-07
+1.512000E-07,+4.720000E+00,+1.192093E-07
+1.532000E-07,+4.720000E+00,+1.192093E-07
+1.552000E-07,+4.720000E+00,+1.192093E-07
+1.572000E-07,+4.720000E+00,+1.192093E-07
+1.592000E-07,+4.720000E+00,+1.192093E-07
+1.612000E-07,+4.720000E+00,+1.192093E-07
+1.632000E-07,+4.720000E+00,+1.192093E-07
+1.652000E-07,+4.720000E+00,+1.192093E-07
+1.672000E-07,+4.720000E+00,+1.192093E-07
+1.692000E-07,+4.720000E+00,+1.192093E-07
+1.712000E-07,+4.720000E+00,+1.192093E-07
+1.732000E-07,+4.720000E+00,+1.192093E-07
+1.752000E-07,+4.720000E+00,+1.192093E-07
+1.772000E-07,+4.720000E+00,+1.192093E-07
+1.792000E-07,+4.720000E+00,+1.192093E-07
+1.812000E-07,+4.720000E+00,+1.192093E-07
+1.832000E-07,+4.720000E+00,+1.192093E-07
+1.852000E-07,+4.720000E+00,+1.192093E-07
+1.872000E-07,+4.720000E+00,+1.192093E-07
+1.892000E-07,+4.720000E+00,+1.192093E-07
