x/m
14
-12
46
-14
-24
10
22
10
12
6
-16
-20
18
30
2
-8
16
-12
52
-16
34
48
20
-20
26
8
-14
-12
-12
-18
-26
20
0
30
-16
6
18
74
-20
14
6
24
-12
38
-2
-28
8
2
-44
-20
32
18
48
16
50
68
-20
-30
-48
-18
80
10
20
54
-28
-16
22
-66
-28
16
50
-34
-28
-8
-4
-4
12
48
-44
-38
-4
22
-22
-30
-22
18
-50
-26
8
-2
-10
-14
34
-26
44
10
0
8
-6
-20
-6
6
-22
-86
22
-16
26
-46
-14
-4
4
4
36
4
34
-32
-28
-26
0
-64
-38
-80
86
2
32
0
-54
-42
-10
-6
20
16
-24
60
4
-44
20
20
18
-8
18
-16
-16
-4
32
28
-14
4
-14
56
2
18
60
-12
10
16
12
-14
-10
-8
-28
-20
-2
10
40
-18
12
4
80
2
-14
14
26
-8
30
2
-14
-8
6
-44
-20
38
14
44
14
36
88
-16
-44
-22
-28
62
22
10
60
-28
-20
18
-52
-32
32
28
-20
-32
-12
8
-14
12
36
-40
-44
6
18
-32
-12
-32
34
-58
-28
8
-2
-16
-16
36
-34
40
12
26
-6
10
-44
-4
10
-16
-86
18
-2
36
-70
-14
-16
30
-4
30
10
22
-24
-18
-26
-8
-62
-46
-62
70
4
18
36
-76
-50
-6
-16
26
26
-30
58
8
-42
18
14
26
-6
6
-10
-12
-12
26
50
-10
-16
2
50
4
12
64
-14
18
20
-2
-6
-14
-4
-40
-20
4
-8
50
-8
10
6
56
36
-30
6
24
12
32
-24
8
-12
-16
-30
-22
56
8
40
16
34
98
-12
-52
-24
-32
44
42
14
58
-30
-24
20
-38
-40
30
22
-16
-44
-2
20
-8
-14
44
-38
-42
8
18
-28
-12
-42
36
-52
-20
-2
4
-24
-26
58
-56
34
26
28
-8
18
-48
-10
14
-18
-68
-4
8
22
-54
-8
-20
8
18
18
4
30
-14
-20
-28
-28
-44
-36
-60
46
12
34
30
-84
-54
20
-48
38
36
-44
58
16
-48
22
4
40
-24
12
-6
-16
-16
32
48
-16
0
8
34
2
6
64
-4
24
16
-12
8
-18
-2
-38
-18
0
-4
36
4
2
0
64
50
-52
12
30
12
20
-20
10
-14
-18
-4
-52
58
14
34
20
46
92
-8
-62
-12
-36
52
24
24
44
-12
-28
12
-38
-34
30
18
-18
-42
12
6
-18
6
26
-26
-42
-8
32
-34
10
-50
40
-58
-32
2
10
-26
-40
68
-56
42
34
14
0
2
-48
-8
18
-20
-68
8
-16
40
-60
4
-22
-8
26
26
-6
30
-6
-12
-32
-40
-32
-46
-64
54
18
22
26
-66
-52
10
-56
32
36
-28
50
30
-50
2
0
58
-12
14
-8
-22
-22
28
44
6
-14
10
44
-8
-4
70
-14
30
18
-10
4
-32
22
-52
-8
12
0
12
10
4
-16
64
62
-44
18
-6
26
32
-34
22
-4
-38
-4
-28
46
6
50
0
68
68
8
-72
16
-52
52
6
40
30
-14
-18
8
-26
-34
10
36
-28
-42
4
22
-18
10
12
-2
-42
-12
26
-38
24
-64
36
-52
-30
-12
14
-34
-20
50
-46
48
28
16
-12
10
-46
-16
32
-20
-72
4
-12
24
-44
6
-12
-10
14
16
2
34
-12
-10
-24
-36
-30
-46
-78
48
20
38
22
-70
-50
4
-54
26
34
-32
78
18
-44
-20
4
58
-6
6
20
-32
-34
48
32
-10
-2
14
28
26
-24
66
10
4
20
-8
6
-30
34
-60
-6
4
-6
0
26
2
-16
48
90
-42
14
-24
42
32
-42
18
-6
-38
0
-24
32
28
40
0
64
56
30
-76
14
-52
38
